clip_id,condition,status,returncode,elapsed_sec,clip_path,protected_target_image_path,replacement_image_path,output_video,log_path,face_metadata,tracking_metadata,stdout,stderr
170221_haggling_b2_hd_00_27_0001350000,full,completed,0,89.334,170221_haggling_b2_hd_00_27_0001350000.mp4,170221_haggling_b2_hd_00_27_0001350000_target.jpg,fake_face.jpg,170221_haggling_b2_hd_00_27_0001350000_output.mp4,tracking_target_170221_haggling_b2_hd_00_27_0001350000_log.txt,face_metadata_170221_haggling_b2_hd_00_27_0001350000.json,tracking_metadata_170221_haggling_b2_hd_00_27_0001350000.json,stdout.log,stderr.log
170221_haggling_b2_hd_00_27_0001850000,full,completed,0,95.391,170221_haggling_b2_hd_00_27_0001850000.mp4,170221_haggling_b2_hd_00_27_0001850000_target.jpg,fake_face.jpg,170221_haggling_b2_hd_00_27_0001850000_output.mp4,tracking_target_170221_haggling_b2_hd_00_27_0001850000_log.txt,face_metadata_170221_haggling_b2_hd_00_27_0001850000.json,tracking_metadata_170221_haggling_b2_hd_00_27_0001850000.json,stdout.log,stderr.log
170221_haggling_b3_hd_00_27_0001250000,full,completed,0,124.157,170221_haggling_b3_hd_00_27_0001250000.mp4,170221_haggling_b3_hd_00_27_0001250000_target.jpg,fake_face.jpg,170221_haggling_b3_hd_00_27_0001250000_output.mp4,tracking_target_170221_haggling_b3_hd_00_27_0001250000_log.txt,face_metadata_170221_haggling_b3_hd_00_27_0001250000.json,tracking_metadata_170221_haggling_b3_hd_00_27_0001250000.json,stdout.log,stderr.log
170221_haggling_b3_hd_00_27_0001350000,full,completed,0,126.257,170221_haggling_b3_hd_00_27_0001350000.mp4,170221_haggling_b3_hd_00_27_0001350000_target.jpg,fake_face.jpg,170221_haggling_b3_hd_00_27_0001350000_output.mp4,tracking_target_170221_haggling_b3_hd_00_27_0001350000_log.txt,face_metadata_170221_haggling_b3_hd_00_27_0001350000.json,tracking_metadata_170221_haggling_b3_hd_00_27_0001350000.json,stdout.log,stderr.log
170221_haggling_b3_hd_00_27_0001450000,full,completed,0,114.393,170221_haggling_b3_hd_00_27_0001450000.mp4,170221_haggling_b3_hd_00_27_0001450000_target.jpg,fake_face.jpg,170221_haggling_b3_hd_00_27_0001450000_output.mp4,tracking_target_170221_haggling_b3_hd_00_27_0001450000_log.txt,face_metadata_170221_haggling_b3_hd_00_27_0001450000.json,tracking_metadata_170221_haggling_b3_hd_00_27_0001450000.json,stdout.log,stderr.log
170224_haggling_b1_hd_00_08_0001350000,full,completed,0,90.64,170224_haggling_b1_hd_00_08_0001350000.mp4,170224_haggling_b1_hd_00_08_0001350000_target.jpg,fake_face.jpg,170224_haggling_b1_hd_00_08_0001350000_output.mp4,tracking_target_170224_haggling_b1_hd_00_08_0001350000_log.txt,face_metadata_170224_haggling_b1_hd_00_08_0001350000.json,tracking_metadata_170224_haggling_b1_hd_00_08_0001350000.json,stdout.log,stderr.log
170224_haggling_b1_hd_00_08_0001550000,full,completed,0,123.299,170224_haggling_b1_hd_00_08_0001550000.mp4,170224_haggling_b1_hd_00_08_0001550000_target.jpg,fake_face.jpg,170224_haggling_b1_hd_00_08_0001550000_output.mp4,tracking_target_170224_haggling_b1_hd_00_08_0001550000_log.txt,face_metadata_170224_haggling_b1_hd_00_08_0001550000.json,tracking_metadata_170224_haggling_b1_hd_00_08_0001550000.json,stdout.log,stderr.log
170224_haggling_b1_hd_00_25_0001450000,full,completed,0,125.819,170224_haggling_b1_hd_00_25_0001450000.mp4,170224_haggling_b1_hd_00_25_0001450000_target.jpg,fake_face.jpg,170224_haggling_b1_hd_00_25_0001450000_output.mp4,tracking_target_170224_haggling_b1_hd_00_25_0001450000_log.txt,face_metadata_170224_haggling_b1_hd_00_25_0001450000.json,tracking_metadata_170224_haggling_b1_hd_00_25_0001450000.json,stdout.log,stderr.log
170224_haggling_b1_hd_00_25_0001750000,full,completed,0,114.831,170224_haggling_b1_hd_00_25_0001750000.mp4,170224_haggling_b1_hd_00_25_0001750000_target.jpg,fake_face.jpg,170224_haggling_b1_hd_00_25_0001750000_output.mp4,tracking_target_170224_haggling_b1_hd_00_25_0001750000_log.txt,face_metadata_170224_haggling_b1_hd_00_25_0001750000.json,tracking_metadata_170224_haggling_b1_hd_00_25_0001750000.json,stdout.log,stderr.log
170221_haggling_b2_hd_00_27_0001350000,no_identity_lock,completed,0,81.368,170221_haggling_b2_hd_00_27_0001350000.mp4,170221_haggling_b2_hd_00_27_0001350000_target.jpg,fake_face.jpg,170221_haggling_b2_hd_00_27_0001350000_output.mp4,tracking_target_170221_haggling_b2_hd_00_27_0001350000_log.txt,face_metadata_170221_haggling_b2_hd_00_27_0001350000.json,tracking_metadata_170221_haggling_b2_hd_00_27_0001350000.json,stdout.log,stderr.log
