clip_id,accepted,total_frames,metadata_rows,deduped_face_rows,duplicate_rows_removed,frames_with_any_face,protected_face_rows,non_target_face_rows,protected_state_switches,non_target_state_switches,stable_id_count,raw_track_id_count,target_coverage,target_frame_count,protected_alteration_rate,non_target_exposure_rate,anonymization_coverage,swap_coverage,blur_coverage,non_target_unprocessed_rate,non_target_unknown_rate,protected_unknown_rate,unknown_rate,log_path,face_metadata_path,protected_preserve_rows,protected_swap_rows,protected_blur_rows,protected_unprocessed_rows,protected_failed_rows,protected_unknown_rows,non_target_preserve_rows,non_target_swap_rows,non_target_blur_rows,non_target_unprocessed_rows,non_target_failed_rows,non_target_unknown_rows,preserve_rows,swap_rows,blur_rows,unprocessed_rows,failed_rows,unknown_rows
170221_haggling_b1_hd_00_27_0001150000,yes,300,337,337,0,172,77,260,0,1,3,6,0.256667,77,0.0,0.923077,0.076923,0.076923,0.0,0.923077,0.0,0.0,0.0,tracking_target_170221_haggling_b1_hd_00_27_0001150000_log.txt,face_metadata_170221_haggling_b1_hd_00_27_0001150000.json,77,0,0,0,0,0,0,20,0,240,0,0,77,20,0,240,0,0
170221_haggling_b2_hd_00_27_0001350000,yes,300,875,875,0,300,298,577,0,0,2,3,0.993333,298,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,tracking_target_170221_haggling_b2_hd_00_27_0001350000_log.txt,face_metadata_170221_haggling_b2_hd_00_27_0001350000.json,298,0,0,0,0,0,0,0,0,577,0,0,298,0,0,577,0,0
170221_haggling_b2_hd_00_27_0001850000,yes,299,529,529,0,219,214,315,0,10,4,4,0.715719,214,0.0,0.692063,0.307937,0.307937,0.0,0.692063,0.0,0.0,0.0,tracking_target_170221_haggling_b2_hd_00_27_0001850000_log.txt,face_metadata_170221_haggling_b2_hd_00_27_0001850000.json,214,0,0,0,0,0,0,97,0,218,0,0,214,97,0,218,0,0
170221_haggling_b3_hd_00_27_0001250000,yes,299,606,606,0,299,299,307,0,0,2,3,1.0,299,0.0,0.026059,0.973941,0.973941,0.0,0.026059,0.0,0.0,0.0,tracking_target_170221_haggling_b3_hd_00_27_0001250000_log.txt,face_metadata_170221_haggling_b3_hd_00_27_0001250000.json,299,0,0,0,0,0,0,299,0,8,0,0,299,299,0,8,0,0
170221_haggling_b3_hd_00_27_0001450000,yes,244,498,498,0,244,244,254,0,3,2,3,1.0,244,0.0,0.125984,0.874016,0.874016,0.0,0.125984,0.0,0.0,0.0,tracking_target_170221_haggling_b3_hd_00_27_0001450000_log.txt,face_metadata_170221_haggling_b3_hd_00_27_0001450000.json,244,0,0,0,0,0,0,222,0,32,0,0,244,222,0,32,0,0
170221_haggling_m1_hd_00_08_0001750000,yes,300,899,899,0,300,300,599,0,0,2,3,1.0,300,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,tracking_target_170221_haggling_m1_hd_00_08_0001750000_log.txt,face_metadata_170221_haggling_m1_hd_00_08_0001750000.json,300,0,0,0,0,0,0,0,0,599,0,0,300,0,0,599,0,0
170221_haggling_m1_hd_00_27_0001750000,yes,300,598,598,0,300,299,299,0,20,2,2,0.996667,299,0.0,0.244147,0.755853,0.755853,0.0,0.244147,0.0,0.0,0.0,tracking_target_170221_haggling_m1_hd_00_27_0001750000_log.txt,face_metadata_170221_haggling_m1_hd_00_27_0001750000.json,299,0,0,0,0,0,0,226,0,73,0,0,299,226,0,73,0,0
170221_haggling_m2_hd_00_08_0001150000,yes,300,897,897,0,300,290,607,0,0,2,3,0.966667,290,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,tracking_target_170221_haggling_m2_hd_00_08_0001150000_log.txt,face_metadata_170221_haggling_m2_hd_00_08_0001150000.json,290,0,0,0,0,0,0,0,0,607,0,0,290,0,0,607,0,0
170224_haggling_a1_hd_00_27_0002350000,yes,300,898,898,0,300,300,598,0,11,4,3,1.0,300,0.0,0.720736,0.279264,0.279264,0.0,0.720736,0.0,0.0,0.0,tracking_target_170224_haggling_a1_hd_00_27_0002350000_log.txt,face_metadata_170224_haggling_a1_hd_00_27_0002350000.json,300,0,0,0,0,0,0,167,0,431,0,0,300,167,0,431,0,0
170224_haggling_a1_hd_00_27_0002950000,yes,299,590,590,0,299,173,417,0,9,2,2,0.578595,173,0.0,0.822542,0.177458,0.177458,0.0,0.822542,0.0,0.0,0.0,tracking_target_170224_haggling_a1_hd_00_27_0002950000_log.txt,face_metadata_170224_haggling_a1_hd_00_27_0002950000.json,173,0,0,0,0,0,0,74,0,343,0,0,173,74,0,343,0,0
