clip_id,condition,status,returncode,elapsed_sec,clip_path,protected_target_image_path,replacement_image_path,output_video,log_path,face_metadata,tracking_metadata,stdout,stderr
170221_haggling_b1_hd_00_27_0001150000,full,completed,0,84.22,170221_haggling_b1_hd_00_27_0001150000.mp4,data/panoptic_veil_materialized_20_supplement/targets/pilot20_supplement/170221_haggling_b1_hd_00_27_0001150000_target.jpg,fake_face.jpg,170221_haggling_b1_hd_00_27_0001150000_output.mp4,tracking_target_170221_haggling_b1_hd_00_27_0001150000_log.txt,face_metadata_170221_haggling_b1_hd_00_27_0001150000.json,tracking_metadata_170221_haggling_b1_hd_00_27_0001150000.json,stdout.log,stderr.log
170221_haggling_b2_hd_00_27_0001350000,full,completed,0,83.375,170221_haggling_b2_hd_00_27_0001350000.mp4,170221_haggling_b2_hd_00_27_0001350000_target.jpg,fake_face.jpg,170221_haggling_b2_hd_00_27_0001350000_output.mp4,tracking_target_170221_haggling_b2_hd_00_27_0001350000_log.txt,face_metadata_170221_haggling_b2_hd_00_27_0001350000.json,tracking_metadata_170221_haggling_b2_hd_00_27_0001350000.json,stdout.log,stderr.log
170221_haggling_b2_hd_00_27_0001850000,full,completed,0,93.256,170221_haggling_b2_hd_00_27_0001850000.mp4,170221_haggling_b2_hd_00_27_0001850000_target.jpg,fake_face.jpg,170221_haggling_b2_hd_00_27_0001850000_output.mp4,tracking_target_170221_haggling_b2_hd_00_27_0001850000_log.txt,face_metadata_170221_haggling_b2_hd_00_27_0001850000.json,tracking_metadata_170221_haggling_b2_hd_00_27_0001850000.json,stdout.log,stderr.log
170221_haggling_b3_hd_00_27_0001250000,full,completed,0,121.807,170221_haggling_b3_hd_00_27_0001250000.mp4,170221_haggling_b3_hd_00_27_0001250000_target.jpg,fake_face.jpg,170221_haggling_b3_hd_00_27_0001250000_output.mp4,tracking_target_170221_haggling_b3_hd_00_27_0001250000_log.txt,face_metadata_170221_haggling_b3_hd_00_27_0001250000.json,tracking_metadata_170221_haggling_b3_hd_00_27_0001250000.json,stdout.log,stderr.log
170221_haggling_b3_hd_00_27_0001450000,full,completed,0,109.616,170221_haggling_b3_hd_00_27_0001450000.mp4,170221_haggling_b3_hd_00_27_0001450000_target.jpg,fake_face.jpg,170221_haggling_b3_hd_00_27_0001450000_output.mp4,tracking_target_170221_haggling_b3_hd_00_27_0001450000_log.txt,face_metadata_170221_haggling_b3_hd_00_27_0001450000.json,tracking_metadata_170221_haggling_b3_hd_00_27_0001450000.json,stdout.log,stderr.log
170221_haggling_m1_hd_00_08_0001750000,full,completed,0,82.731,170221_haggling_m1_hd_00_08_0001750000.mp4,data/panoptic_veil_materialized_20_supplement/targets/pilot20_supplement/170221_haggling_m1_hd_00_08_0001750000_target.jpg,fake_face.jpg,170221_haggling_m1_hd_00_08_0001750000_output.mp4,tracking_target_170221_haggling_m1_hd_00_08_0001750000_log.txt,face_metadata_170221_haggling_m1_hd_00_08_0001750000.json,tracking_metadata_170221_haggling_m1_hd_00_08_0001750000.json,stdout.log,stderr.log
170221_haggling_m1_hd_00_27_0001750000,full,completed,0,97.499,170221_haggling_m1_hd_00_27_0001750000.mp4,170221_haggling_m1_hd_00_27_0001750000_target.jpg,fake_face.jpg,170221_haggling_m1_hd_00_27_0001750000_output.mp4,tracking_target_170221_haggling_m1_hd_00_27_0001750000_log.txt,face_metadata_170221_haggling_m1_hd_00_27_0001750000.json,tracking_metadata_170221_haggling_m1_hd_00_27_0001750000.json,stdout.log,stderr.log
170221_haggling_m2_hd_00_08_0001150000,full,completed,0,80.723,170221_haggling_m2_hd_00_08_0001150000.mp4,data/panoptic_veil_materialized_20_supplement/targets/pilot20_supplement/170221_haggling_m2_hd_00_08_0001150000_target.jpg,fake_face.jpg,170221_haggling_m2_hd_00_08_0001150000_output.mp4,tracking_target_170221_haggling_m2_hd_00_08_0001150000_log.txt,face_metadata_170221_haggling_m2_hd_00_08_0001150000.json,tracking_metadata_170221_haggling_m2_hd_00_08_0001150000.json,stdout.log,stderr.log
170224_haggling_a1_hd_00_27_0002350000,full,completed,0,92.244,170224_haggling_a1_hd_00_27_0002350000.mp4,data/panoptic_veil_materialized_20_supplement/targets/pilot20_supplement/170224_haggling_a1_hd_00_27_0002350000_target.jpg,fake_face.jpg,170224_haggling_a1_hd_00_27_0002350000_output.mp4,tracking_target_170224_haggling_a1_hd_00_27_0002350000_log.txt,face_metadata_170224_haggling_a1_hd_00_27_0002350000.json,tracking_metadata_170224_haggling_a1_hd_00_27_0002350000.json,stdout.log,stderr.log
170224_haggling_a1_hd_00_27_0002950000,full,completed,0,84.98,170224_haggling_a1_hd_00_27_0002950000.mp4,170224_haggling_a1_hd_00_27_0002950000_target.jpg,fake_face.jpg,170224_haggling_a1_hd_00_27_0002950000_output.mp4,tracking_target_170224_haggling_a1_hd_00_27_0002950000_log.txt,face_metadata_170224_haggling_a1_hd_00_27_0002950000.json,tracking_metadata_170224_haggling_a1_hd_00_27_0002950000.json,stdout.log,stderr.log
170224_haggling_a2_hd_00_27_0001750000,full,completed,0,81.269,170224_haggling_a2_hd_00_27_0001750000.mp4,data/panoptic_veil_materialized_20_supplement/targets/pilot20_supplement/170224_haggling_a2_hd_00_27_0001750000_target.jpg,fake_face.jpg,170224_haggling_a2_hd_00_27_0001750000_output.mp4,tracking_target_170224_haggling_a2_hd_00_27_0001750000_log.txt,face_metadata_170224_haggling_a2_hd_00_27_0001750000.json,tracking_metadata_170224_haggling_a2_hd_00_27_0001750000.json,stdout.log,stderr.log
