clip_id,accepted,reviewer,reason
170221_haggling_b2_hd_00_27_0001350000,yes,jimin,
170221_haggling_b2_hd_00_27_0001850000,yes,jimin,
170221_haggling_b3_hd_00_27_0001250000,yes,jimin,
170221_haggling_b3_hd_00_27_0001450000,yes,jimin,
170224_haggling_b1_hd_00_08_0001350000,yes,jimin,
170224_haggling_b1_hd_00_25_0001450000,yes,jimin,
170224_haggling_b1_hd_00_25_0001750000,yes,jimin,
170221_haggling_m1_hd_00_27_0001750000,yes,jimin,
170224_haggling_a1_hd_00_27_0002950000,yes,jimin,
170224_haggling_a2_hd_00_27_0002350000,yes,jimin,
170224_haggling_b3_hd_00_27_0002950000,yes,jimin,
170224_haggling_b2_hd_00_27_0001750000,yes,jimin,
170224_haggling_a1_hd_00_27_0002350000,yes,jimin,
170224_haggling_b3_hd_00_27_0002350000,yes,jimin,
170224_haggling_a2_hd_00_27_0001750000,yes,jimin,target manually replaced
170228_haggling_a1_hd_00_27_0002950000,yes,jimin,
170221_haggling_m1_hd_00_08_0001750000,yes,jimin,target manually replaced
170221_haggling_m2_hd_00_08_0001150000,yes,jimin,
170228_haggling_a1_hd_00_08_0002350000,yes,jimin,target manually replaced
170221_haggling_b1_hd_00_27_0001150000,yes,jimin,target manually replaced
